[2022/03/29 18:06:06][DEBUG](PDFReadForList.py:188) 要PDF変換//Sv05121a/e/電子ファイル/メッセージボックス/2022-3/送信分受信通知/1204/ミロク送信分/所得税及び復興特別所得税申告.pdf MergeFilsT d:\PythonScript\RPAScript\PDFReadForList.py
[2022/03/29 18:06:07][DEBUG](PDFReadForList.py:188) 要PDF変換//Sv05121a/e/電子ファイル/メッセージボックス/2022-3/送信分受信通知/1205/ミロク送信分/所得税及び復興特別所得税申告.pdf MergeFilsT d:\PythonScript\RPAScript\PDFReadForList.py
[2022/03/29 18:06:07][DEBUG](PDFReadForList.py:188) 要PDF変換//Sv05121a/e/電子ファイル/メッセージボックス/2022-3/送信分受信通知/1206/ミロク送信分/申告等送信票(兼送付書).pdf MergeFilsT d:\PythonScript\RPAScript\PDFReadForList.py
[2022/03/29 18:06:07][DEBUG](PDFReadForList.py:188) 要PDF変換//Sv05121a/e/電子ファイル/メッセージボックス/2022-3/送信分受信通知/1211/ミロク送信分/所得税及び復興特別所得税申告.pdf MergeFilsT d:\PythonScript\RPAScript\PDFReadForList.py
[2022/03/29 18:06:07][DEBUG](PDFReadForList.py:188) 要PDF変換//Sv05121a/e/電子ファイル/メッセージボックス/2022-3/送信分受信通知/1214/国税電子申告・納税システム－SU00S100 メール詳細(所得税).pdf MergeFilsT d:\PythonScript\RPAScript\PDFReadForList.py
[2022/03/29 18:06:08][DEBUG](PDFReadForList.py:188) 要PDF変換//Sv05121a/e/電子ファイル/メッセージボックス/2022-3/送信分受信通知/1214/国税電子申告・納税システム－SU00S100 メール詳細.pdf MergeFilsT d:\PythonScript\RPAScript\PDFReadForList.py
[2022/03/29 18:06:08][DEBUG](PDFReadForList.py:188) 要PDF変換//Sv05121a/e/電子ファイル/メッセージボックス/2022-3/送信分受信通知/1214/国税電子申告・納税システム－SU00S140 申告書等送信票（兼送付書）.pdf MergeFilsT d:\PythonScript\RPAScript\PDFReadForList.py
[2022/03/29 18:06:08][DEBUG](PDFReadForList.py:188) 要PDF変換//Sv05121a/e/電子ファイル/メッセージボックス/2022-3/送信分受信通知/1216/ミロク送信分/所得税及び復興特別所得税申告.pdf MergeFilsT d:\PythonScript\RPAScript\PDFReadForList.py
[2022/03/29 18:06:08][DEBUG](PDFReadForList.py:188) 要PDF変換//Sv05121a/e/電子ファイル/メッセージボックス/2022-3/送信分受信通知/1216/ミロク送信分/消費税及び地方消費税申告(簡易課税・個人).pdf MergeFilsT d:\PythonScript\RPAScript\PDFReadForList.py
[2022/03/29 18:06:08][DEBUG](PDFReadForList.py:188) 要PDF変換//Sv05121a/e/電子ファイル/メッセージボックス/2022-3/送信分受信通知/121702/ミロク送信分/所得税及び復興特別所得税申告.pdf MergeFilsT d:\PythonScript\RPAScript\PDFReadForList.py
